"Date","HB","HBQF","HBName","Population","Dose","CumulativeNumberVaccinated","CumulativePercentCoverage","AgeBand","Month","Day","Year"
2022-10-23,"S92000003","d","Scotland",2589681,"Winter Booster 2022",997326,38.5,"All vaccinations","Oct","23","2022"
2022-10-30,"S92000003","d","Scotland",2589618,"Winter Booster 2022",1163237,44.9,"All vaccinations","Oct","30","2022"
2022-11-06,"S92000003","d","Scotland",2602975,"Winter Booster 2022",1311619,50.4,"All vaccinations","Nov","06","2022"
2022-11-13,"S92000003","d","Scotland",2601888,"Winter Booster 2022",1449009,55.7,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000015",NA,"NHS Ayrshire and Arran",195900,"Winter Booster 2022",81917,41.8,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000015",NA,"NHS Ayrshire and Arran",195879,"Winter Booster 2022",96095,49.1,"All vaccinations","Oct","30","2022"
2022-11-06,"S08000015",NA,"NHS Ayrshire and Arran",196806,"Winter Booster 2022",107121,54.4,"All vaccinations","Nov","06","2022"
2022-11-13,"S08000015",NA,"NHS Ayrshire and Arran",196718,"Winter Booster 2022",115866,58.9,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000016",NA,"NHS Borders",64110,"Winter Booster 2022",23905,37.3,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000016",NA,"NHS Borders",64099,"Winter Booster 2022",29627,46.2,"All vaccinations","Oct","30","2022"
2022-11-06,"S08000016",NA,"NHS Borders",64409,"Winter Booster 2022",33779,52.4,"All vaccinations","Nov","06","2022"
2022-11-13,"S08000016",NA,"NHS Borders",64385,"Winter Booster 2022",37544,58.3,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000017",NA,"NHS Dumfries and Galloway",83005,"Winter Booster 2022",34254,41.3,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000017",NA,"NHS Dumfries and Galloway",83014,"Winter Booster 2022",40157,48.4,"All vaccinations","Oct","30","2022"
2022-11-06,"S08000017",NA,"NHS Dumfries and Galloway",83385,"Winter Booster 2022",46514,55.8,"All vaccinations","Nov","06","2022"
2022-11-13,"S08000017",NA,"NHS Dumfries and Galloway",83337,"Winter Booster 2022",51476,61.8,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000019",NA,"NHS Forth Valley",147770,"Winter Booster 2022",53958,36.5,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000019",NA,"NHS Forth Valley",147778,"Winter Booster 2022",66174,44.8,"All vaccinations","Oct","30","2022"
2022-11-06,"S08000019",NA,"NHS Forth Valley",148739,"Winter Booster 2022",76688,51.6,"All vaccinations","Nov","06","2022"
2022-11-13,"S08000019",NA,"NHS Forth Valley",148664,"Winter Booster 2022",87619,58.9,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000020",NA,"NHS Grampian",268061,"Winter Booster 2022",98612,36.8,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000020",NA,"NHS Grampian",268063,"Winter Booster 2022",118603,44.2,"All vaccinations","Oct","30","2022"
2022-11-06,"S08000020",NA,"NHS Grampian",269702,"Winter Booster 2022",133521,49.5,"All vaccinations","Nov","06","2022"
2022-11-13,"S08000020",NA,"NHS Grampian",269630,"Winter Booster 2022",147629,54.8,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000022",NA,"NHS Highland",171803,"Winter Booster 2022",62370,36.3,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000022",NA,"NHS Highland",171769,"Winter Booster 2022",73128,42.6,"All vaccinations","Oct","30","2022"
2022-11-06,"S08000022",NA,"NHS Highland",172524,"Winter Booster 2022",83477,48.4,"All vaccinations","Nov","06","2022"
2022-11-13,"S08000022",NA,"NHS Highland",172490,"Winter Booster 2022",92024,53.4,"All vaccinations","Nov","13","2022"
2022-10-23,"S08000024",NA,"NHS Lothian",389353,"Winter Booster 2022",159233,40.9,"All vaccinations","Oct","23","2022"
2022-10-30,"S08000024",NA,"NHS Lothian",389405,"Winter Booster 2022",177507,45.6,"All vaccinations","Oct","30","2022"
